City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
501,Kenora,CA,49.82,-94.43,71.6,40,40,11.41,scattered clouds
502,Whitehorse,CA,60.72,-135.05,66.0,55,75,11.41,broken clouds
503,Remanso,BR,-9.62,-42.08,83.62,43,0,11.01,clear sky
504,Paamiut,GL,61.99,-49.67,45.07,97,100,13.42,overcast clouds
505,Butaritari,KI,3.07,172.79,82.56,73,0,14.94,clear sky
506,Pesqueria,MX,25.78,-100.05,89.6,46,40,4.7,scattered clouds
507,North Bend,US,43.41,-124.22,82.0,77,1,9.17,clear sky
508,Little Current,CA,45.98,-81.92,71.6,73,90,10.29,light rain
509,Boulder City,US,35.98,-114.83,107.01,6,1,18.34,clear sky
510,Pimenta Bueno,BR,-11.67,-61.19,95.34,17,0,4.56,clear sky
511,Inongo,CD,-1.95,18.27,77.09,62,80,3.94,broken clouds
512,Hofn,IS,64.25,-15.21,52.07,92,100,6.08,overcast clouds
513,Boundiali,CI,9.52,-6.49,72.19,94,56,3.15,broken clouds
514,Kautokeino,NO,69.01,23.04,48.52,74,25,6.62,scattered clouds
515,Plettenberg Bay,ZA,-34.05,23.37,63.77,47,0,2.68,clear sky
516,Zelenoborsk,RU,61.47,64.03,71.91,59,100,11.03,overcast clouds
517,Itaueira,BR,-7.6,-43.03,88.41,36,34,9.44,scattered clouds
518,Berlevag,NO,70.86,29.09,48.2,100,75,14.99,light intensity drizzle
519,Independence,US,39.09,-94.42,82.4,58,40,12.75,scattered clouds
520,Chulym,RU,55.1,80.96,62.38,88,0,3.76,clear sky
521,Kattivakkam,IN,13.22,80.32,77.0,88,90,8.05,light intensity drizzle
522,Inirida,CO,3.87,-67.92,85.55,74,56,0.49,light rain
523,Entre Rios,BR,-11.94,-38.08,70.75,85,10,6.44,light rain
524,Bethanien,NA,-26.5,17.16,63.61,23,0,8.88,clear sky
525,Khanpur,PK,28.65,70.66,96.17,42,3,20.15,clear sky
526,Killybegs,IE,54.63,-8.45,57.2,71,63,12.75,broken clouds
527,Foumban,CM,5.73,10.9,64.69,99,100,3.0,moderate rain
528,Arlit,NE,18.74,7.39,92.5,34,35,8.84,scattered clouds
529,Aguilas,ES,37.41,-1.58,86.0,60,0,2.51,clear sky
530,Cascais,PT,38.7,-9.42,68.0,68,20,31.09,few clouds
531,Lokachi,UA,50.74,24.65,64.0,72,93,5.82,overcast clouds
532,Sabya,SA,17.15,42.63,86.0,89,40,6.93,scattered clouds
533,Wellington,NZ,-41.29,174.78,50.0,81,99,8.05,overcast clouds
534,Iisalmi,FI,63.56,27.19,57.2,100,24,12.75,light intensity shower rain
535,Maxixe,MZ,-23.86,35.35,68.0,64,40,6.93,scattered clouds
536,Pasighat,IN,28.07,95.33,79.52,76,0,2.51,clear sky
537,Juneau,US,58.3,-134.42,60.8,87,75,12.75,light rain
538,La Ronge,CA,55.1,-105.28,78.8,44,20,11.41,few clouds
539,Basco,PH,20.45,121.97,84.04,78,100,17.05,light rain
540,Lasa,IT,46.62,10.7,60.8,93,75,4.7,thunderstorm with light rain
541,Fukuma,JP,33.77,130.47,80.01,83,85,8.05,overcast clouds
542,Baturyn,UA,51.35,32.88,54.97,88,0,4.25,clear sky
543,Araouane,ML,18.9,-3.53,102.36,23,10,7.31,clear sky
544,Strezhevoy,RU,60.73,77.59,68.0,77,0,4.47,clear sky
545,Novyy Urengoy,RU,66.08,76.63,60.48,68,58,7.74,broken clouds
546,Maliq,AL,40.71,20.7,68.79,40,58,1.59,broken clouds
547,Kavaratti,IN,10.57,72.64,82.45,78,100,21.88,light rain
548,Pontianak,ID,-0.03,109.33,77.38,93,100,3.78,overcast clouds
549,Eydhafushi,MV,5.1,73.07,82.69,80,100,16.24,light rain
550,Smithers,CA,54.78,-127.17,68.0,56,90,5.82,overcast clouds
551,Nova Olimpia,BR,-14.8,-57.29,94.69,17,0,6.29,clear sky
552,Lemon Tree Passage,AU,-32.73,152.04,46.99,100,60,3.36,broken clouds
553,Skibbereen,IE,51.55,-9.27,60.8,63,40,9.17,scattered clouds
554,Falkenstein,DE,50.48,12.37,63.0,10,100,1.99,moderate rain
555,Emerald,AU,-23.53,148.17,50.0,87,11,5.82,few clouds
556,Ponta Delgada,PT,37.73,-25.67,73.4,69,20,8.05,few clouds
557,Cidreira,BR,-30.18,-50.21,64.33,68,100,7.61,overcast clouds
558,Requena,ES,39.49,-1.1,73.99,76,7,10.98,clear sky
559,Claveria,PH,18.61,121.08,79.36,78,100,5.88,overcast clouds
560,Dubrovytsya,UA,51.57,26.57,57.67,78,17,3.06,few clouds
561,Awbari,LY,26.59,12.78,87.93,13,0,10.92,clear sky
562,Cabedelo,BR,-6.98,-34.83,73.4,94,75,16.11,light rain
563,Tahoua,NE,14.89,5.27,83.44,63,80,20.33,moderate rain
